City ID,Date,Country,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloud Cover
241,2020-04-09 13:49:39,GL,Qasigiannguit,68.82,-51.19,21.2,41,4.7,5
242,2020-04-09 13:49:39,JP,Mombetsu,44.35,143.35,29.1,97,4.25,100
243,2020-04-09 13:45:08,US,Winnemucca,40.97,-117.74,48.2,34,14.99,1
244,2020-04-09 13:49:39,PE,Satipo,-11.25,-74.64,82.63,45,1.45,89
245,2020-04-09 13:49:39,CD,Bosobolo,4.18,19.9,78.91,69,1.74,100
246,2020-04-09 13:49:39,MX,Acapulco de Juárez,16.86,-99.89,73.4,78,2.24,40
247,2020-04-09 13:49:39,AU,Mount Isa,-20.73,139.5,77.0,31,5.82,94
248,2020-04-09 13:49:39,NC,Vao,-22.67,167.48,74.89,69,13.22,5
249,2020-04-09 13:49:40,LY,Jadu,31.95,12.03,63.93,22,9.28,46
250,2020-04-09 13:49:40,CL,Cañete,-37.8,-73.4,59.79,61,1.5,64
251,2020-04-09 13:49:40,JP,Tateyama,34.98,139.87,50.0,87,19.46,75
252,2020-04-09 13:49:40,NE,Bilma,18.69,12.92,97.83,8,11.14,28
253,2020-04-09 13:49:40,DE,Templin,53.12,13.5,66.0,42,13.87,57
254,2020-04-09 13:49:40,EG,Abnūb,27.27,31.15,80.6,24,20.8,0
255,2020-04-09 13:49:40,AR,Mar del Plata,-38.0,-57.56,62.01,77,8.05,20
256,2020-04-09 13:49:40,ZA,Richards Bay,-28.78,32.04,72.19,79,18.23,66
257,2020-04-09 13:46:29,AU,Carnarvon,-24.87,113.63,78.8,83,11.41,90
258,2020-04-09 13:49:40,IN,Pākāla,13.47,79.12,73.4,94,8.05,75
259,2020-04-09 13:49:40,TM,Bereket,39.24,55.52,52.88,41,20.42,75
260,2020-04-09 13:49:41,FO,Klaksvík,62.23,-6.59,41.0,86,17.22,100
261,2020-04-09 13:49:41,QA,Doha,25.29,51.53,93.2,48,16.11,0
262,2020-04-09 13:49:41,BR,Teresópolis,-22.41,-42.97,73.4,83,6.93,75
263,2020-04-09 13:49:41,MX,Cintalapa,16.7,-93.73,88.2,45,0.54,37
264,2020-04-09 13:49:41,RU,Ayan,56.45,138.17,30.65,92,9.75,20
265,2020-04-09 13:49:41,AU,Gawler,-34.6,138.73,57.0,93,2.42,0
266,2020-04-09 13:44:49,CO,Puerto Carreño,6.19,-67.49,80.6,74,10.8,75
267,2020-04-09 13:49:41,BR,Santa Isabel,-23.32,-46.22,75.2,52,6.93,32
268,2020-04-09 13:49:41,US,Homer,59.64,-151.55,30.2,42,4.0,1
269,2020-04-09 13:49:41,MV,Hithadhoo,-0.6,73.08,85.12,65,5.99,66
270,2020-04-09 13:49:41,US,Taylor,32.3,-99.83,64.99,62,3.74,90
271,2020-04-09 13:45:51,ID,Meulaboh,4.14,96.13,80.15,84,7.67,100
272,2020-04-09 13:49:41,IR,Gachsaran,30.36,50.8,73.4,56,9.17,90
273,2020-04-09 13:49:41,CN,Dongsheng,39.82,109.98,40.73,30,19.77,73
274,2020-04-09 13:49:41,PH,Barahan,13.01,120.76,79.77,75,5.46,70
275,2020-04-09 13:49:41,US,Mayo,38.89,-76.51,64.0,93,20.69,90
276,2020-04-09 13:49:41,US,North Platte,41.12,-100.77,26.6,79,4.7,1
277,2020-04-09 13:49:41,LK,Hambantota,6.12,81.12,83.19,71,2.48,42
278,2020-04-09 13:49:41,CL,Lebu,-37.62,-73.65,59.16,68,2.86,73
279,2020-04-09 13:49:42,US,Palmer,42.16,-72.33,48.2,81,9.17,90
280,2020-04-09 13:49:42,NZ,Tokomaru,-40.47,175.5,46.99,86,0.74,25
281,2020-04-09 13:49:42,AZ,Xaçmaz,41.46,48.81,48.88,60,1.83,1
282,2020-04-09 13:49:42,ML,Araouane,18.9,-3.53,100.6,6,2.04,10
283,2020-04-09 13:49:42,MX,Ojinaga,29.57,-104.42,71.6,30,4.16,90
284,2020-04-09 13:49:42,IT,Ronchi dei Legionari,45.82,13.51,75.99,34,6.2,5
285,2020-04-09 13:49:42,CN,Yumen,40.28,97.2,51.76,19,18.79,0
286,2020-04-09 13:46:26,BR,Rio Grande,-32.03,-52.1,64.4,82,8.05,75
287,2020-04-09 13:49:42,CN,Zaoyang,32.13,112.75,57.63,66,14.32,95
288,2020-04-09 13:48:30,BR,Conde,-7.26,-34.91,87.8,70,9.17,75
289,2020-04-09 13:49:42,BR,Bela Vista de Goiás,-16.97,-48.95,78.8,69,5.82,20
290,2020-04-09 13:49:43,ZA,De Aar,-30.65,24.01,79.21,12,13.09,0
291,2020-04-09 13:49:43,BR,Urucará,-2.54,-57.76,74.61,97,3.91,100
292,2020-04-09 13:49:43,IN,Chinchani,19.87,72.7,80.31,71,11.83,0
293,2020-04-09 13:49:43,BB,Bathsheba,13.22,-59.52,84.2,66,14.99,40
294,2020-04-09 13:49:43,NO,Geilo,60.53,8.21,34.0,80,24.0,51
295,2020-04-09 13:49:43,MX,Lázaro Cárdenas,17.96,-102.2,83.82,42,1.45,1
296,2020-04-09 13:49:43,CN,Chaozhou,23.67,116.64,66.2,63,4.47,0
297,2020-04-09 13:49:44,BR,Boa Vista,2.82,-60.67,86.0,62,10.29,75
298,2020-04-09 13:49:44,RU,Evensk,61.95,159.23,13.21,87,9.53,5
299,2020-04-09 13:49:44,MU,Quatre Cocos,-20.21,57.76,82.4,74,17.22,75
300,2020-04-09 13:49:44,LK,Weligama,5.97,80.42,79.97,83,2.24,57
301,2020-04-09 13:49:44,SJ,Longyearbyen,78.22,15.64,12.2,66,13.87,40
302,2020-04-09 13:49:44,AU,Charters Towers,-20.1,146.27,68.32,77,5.95,80
303,2020-04-09 13:49:44,ID,Palu,-0.89,119.87,76.59,80,1.5,97
304,2020-04-09 13:48:32,IN,Port Blair,11.67,92.75,82.51,74,6.87,41
305,2020-04-09 13:49:44,BR,Santa Maria,-29.68,-53.81,62.6,67,2.24,20
306,2020-04-09 13:49:44,SA,Faya,18.39,42.45,78.8,41,13.87,0
307,2020-04-09 13:49:44,RU,Selikhino,50.37,137.5,32.38,92,3.36,0
308,2020-04-09 13:49:44,NC,Moindou,-21.69,165.68,68.0,77,2.24,31
309,2020-04-09 13:49:44,BR,Aripuanã,-9.17,-60.63,75.36,92,3.02,100
310,2020-04-09 13:49:44,RU,Tatarsk,55.22,75.98,29.32,90,7.92,1
311,2020-04-09 13:49:45,IR,Kangāvar,34.5,47.97,57.6,48,7.74,100
312,2020-04-09 13:44:38,US,Pacific Grove,36.62,-121.92,53.6,81,3.36,90
313,2020-04-09 13:49:45,RU,Charyshskoye,51.4,83.56,32.7,78,4.45,100
314,2020-04-09 13:49:45,CN,Yashan,22.2,109.94,69.4,82,7.58,40
315,2020-04-09 13:49:45,CL,Arauco,-37.25,-73.32,55.4,82,3.36,90
316,2020-04-09 13:47:04,AU,Port Macquarie,-31.43,152.92,64.4,100,3.36,75
317,2020-04-09 13:49:45,CF,Birao,10.28,22.79,102.49,17,2.39,78
318,2020-04-09 13:49:45,TZ,Micheweni,-4.97,39.83,84.63,74,13.4,54
319,2020-04-09 13:49:45,RU,Vitim,59.45,112.56,33.42,83,4.27,0
320,2020-04-09 13:49:45,RU,Dikson,73.51,80.55,20.14,97,12.91,92
321,2020-04-09 13:49:45,TR,Yalova,40.66,29.28,57.2,58,18.34,0
